# amplicon position	effect
118	1.614245298718588684e+00
119	1.614245298718588684e+00
120	1.614245298718588684e+00
121	1.614245298718588684e+00
122	1.614245298718588684e+00
123	1.614245298718588684e+00
124	2.046929605591612411e+00
125	2.046929605591612411e+00
126	2.046929605591612411e+00
127	2.096854717923115174e+00
128	2.246630054917623465e+00
129	2.462972208354135439e+00
130	2.596105841238142808e+00
131	2.945581627558662152e+00
132	3.328340822100182894e+00
133	3.511399567315693027e+00
134	3.561324679647195790e+00
135	3.594608087868197632e+00
136	3.594608087868197632e+00
137	4.276917956398735399e+00
138	4.459976701614245087e+00
139	4.593110334498252456e+00
140	4.593110334498252456e+00
141	4.709602263271759348e+00
142	6.090863704443335358e+00
143	6.223997337327342727e+00
144	7.072724246962889261e+00
145	8.304210351139957424e+00
146	1.015143950740555745e+01
147	1.271426194042269842e+01
148	1.316358795140622462e+01
149	1.905475120652354803e+01
150	3.574638042935596616e+01
151	3.792644366783158461e+01
152	3.862539524047262773e+01
153	3.180229655516724918e+01
154	3.053752704276918095e+01
155	1.612581128307538592e+01
156	1.397903145282076842e+01
157	1.188217673489765325e+01
158	1.116658345814611408e+01
159	8.986520219670493859e+00
160	8.204360126476951010e+00
161	6.506906307205857942e+00
162	6.074222000332833993e+00
163	4.210351139956731714e+00
164	3.761025128973206844e+00
165	3.594608087868197632e+00
166	3.594608087868197632e+00
167	3.494757863205192105e+00
168	1.980362789149608949e+00
169	1.797304043934098816e+00
170	1.797304043934098816e+00
171	1.647528706939590526e+00
172	1.514395074055583379e+00
173	1.298052920619071404e+00
174	1.298052920619071404e+00
175	1.198202695956065877e+00
176	1.198202695956065877e+00
177	1.198202695956065877e+00
178	1.198202695956065877e+00
179	7.988017973040438813e-01
180	7.988017973040438813e-01
181	7.655183890830421500e-01
182	7.655183890830421500e-01
183	7.655183890830421500e-01
184	6.490264603095357021e-01
185	6.490264603095357021e-01
186	6.490264603095357021e-01
187	6.490264603095357021e-01
188	6.490264603095357021e-01
189	6.490264603095357021e-01
190	6.490264603095357021e-01
191	4.326843068730237829e-01
192	4.326843068730237829e-01
193	4.326843068730237829e-01
194	4.326843068730237829e-01
195	4.326843068730237829e-01
196	4.326843068730237829e-01
197	4.326843068730237829e-01
198	4.326843068730237829e-01
199	4.326843068730237829e-01
200	4.326843068730237829e-01
201	4.326843068730237829e-01
202	4.326843068730237829e-01
203	4.326843068730237829e-01
204	4.326843068730237829e-01
205	4.326843068730237829e-01
206	4.326843068730237829e-01
207	4.326843068730237829e-01
208	4.326843068730237829e-01
209	4.326843068730237829e-01
210	4.326843068730237829e-01
211	4.326843068730237829e-01
212	4.326843068730237829e-01
213	4.326843068730237829e-01
214	4.326843068730237829e-01
215	4.326843068730237829e-01
216	4.326843068730237829e-01
217	4.326843068730237829e-01
218	4.326843068730237829e-01
219	4.326843068730237829e-01
220	4.326843068730237829e-01
221	4.326843068730237829e-01
222	4.326843068730237829e-01
223	4.326843068730237829e-01
224	3.661174904310201539e-01
225	3.661174904310201539e-01
226	3.661174904310201539e-01
227	3.661174904310201539e-01
228	1.497753369945082347e-01
229	1.497753369945082347e-01
230	1.497753369945082347e-01
231	1.497753369945082347e-01
232	1.497753369945082347e-01
233	1.497753369945082347e-01
234	1.497753369945082347e-01
235	1.497753369945082347e-01
236	1.497753369945082347e-01
237	1.497753369945082347e-01
238	1.497753369945082347e-01
239	1.497753369945082347e-01
240	1.497753369945082347e-01
241	1.497753369945082347e-01
242	1.497753369945082347e-01
243	1.497753369945082347e-01
244	1.497753369945082347e-01
245	1.497753369945082347e-01
246	1.497753369945082347e-01
247	1.497753369945082347e-01
248	1.497753369945082347e-01
249	1.497753369945082347e-01
250	1.497753369945082347e-01
251	1.497753369945082347e-01
252	1.497753369945082347e-01
253	1.497753369945082347e-01
254	1.497753369945082347e-01
255	1.497753369945082347e-01
256	1.497753369945082347e-01
257	1.497753369945082347e-01
258	1.497753369945082347e-01
259	1.497753369945082347e-01
260	1.497753369945082347e-01
261	1.497753369945082347e-01
262	1.497753369945082347e-01
263	1.497753369945082347e-01
264	1.497753369945082347e-01
265	1.497753369945082347e-01
266	1.497753369945082347e-01
267	1.497753369945082347e-01
268	1.497753369945082347e-01
269	1.497753369945082347e-01
270	1.497753369945082347e-01
271	0.000000000000000000e+00
272	0.000000000000000000e+00
273	0.000000000000000000e+00
274	0.000000000000000000e+00
275	0.000000000000000000e+00
276	0.000000000000000000e+00
277	0.000000000000000000e+00
278	0.000000000000000000e+00
279	0.000000000000000000e+00
280	0.000000000000000000e+00
281	0.000000000000000000e+00
282	0.000000000000000000e+00
283	0.000000000000000000e+00
284	0.000000000000000000e+00
285	0.000000000000000000e+00
286	0.000000000000000000e+00
287	0.000000000000000000e+00
288	0.000000000000000000e+00
289	0.000000000000000000e+00
290	0.000000000000000000e+00
291	0.000000000000000000e+00
292	0.000000000000000000e+00
293	0.000000000000000000e+00
294	0.000000000000000000e+00
295	0.000000000000000000e+00
296	0.000000000000000000e+00
297	0.000000000000000000e+00
298	0.000000000000000000e+00
299	0.000000000000000000e+00
300	0.000000000000000000e+00
301	0.000000000000000000e+00
302	0.000000000000000000e+00
303	0.000000000000000000e+00
304	0.000000000000000000e+00
305	0.000000000000000000e+00
306	0.000000000000000000e+00
307	0.000000000000000000e+00
308	0.000000000000000000e+00
